Optimisation Method Category	Schedulling or Power Capping
N/A	N/A
Machine Learning Optimisation	Schedulling & Container Migration
N/A	N/A
N/A	N/A
N/A	N/A
N/A	N/A
N/A	N/A
Machine Learning Optimisation	Schedulling & Container Migration
Heuristics Based	Schedulling & Container Migration
Heuristics Based	Schedulling & Container Migration
Heuristics Based	Schedulling & Container Migration
Heuristics Based	Dynamic Power Capping
N/A	N/A
Machine Learning Optimisation	Schedulling & Container Migration
Machine Learning Optimisation	Schedulling & Container Migration
N/A	N/A
N/A	N/A
N/A	N/A
Heuristics Based	Dynamic Power Capping
N/A	N/A
Heuristics Based	Schedulling & Container Migration
N/A	N/A
N/A	N/A




























